Product_id,Product_name, Daily_Dose, Water, Protein, Fat, SFA, Cholesterol, PUFA, Starch, Carbohydrates, Dietary_Fiber, Organic_Acids, Ash, Sodium, Potassium, Calcium, Magnesium, Phosphorus, Iron, Retinol, Carotene, Retinol_Equivalent, Tocopherol_Equivalent, Thiamine, Riboflavin, Niacin, Niacin_Equivalent, Ascorbic_Acid, Energy_Value, Serving, Categories, Subcategories, Subcategories2, Subcategories3, Subcategories4
1,«Боржоми»,,99.4,0,0,0,0,0,0,0,0,0,0.6,120,3,35,5,0,0,0,0,0,0,0,0,0,0,0,0,100,Напитки,"Безалкогольные (менее 1,5% спирта)",Минеральные воды,,
2,«Ессентуки № 4»,,99.1,0,0,0,0,0,0,0,0,0,0.9,290,2,15,8,0,0,0,0,0,0,0,0,0,0,0,0,100,Напитки,"Безалкогольные (менее 1,5% спирта)",Минеральные воды,,
3,«Нарзан»,,99.7,0,0,0,0,0,0,0,0,0,0.3,20,2,60,15,0,0,0,0,0,0,0,0,0,0,0,0,100,Напитки,"Безалкогольные (менее 1,5% спирта)",Минеральные воды,,
4,Компот из абрикосов по 2-122,25,85.2,0.2,0,0,0,13.5,0.1,13.6,0.4,0.3,0.3,2,62,9,2,5,0.1,0,240,40,0.2,0,0.01,0.1,0.1,0.9,56,100,Напитки,"Безалкогольные (менее 1,5% спирта)",Компоты,,
5,Абрикосовый,25,84.3,0.5,0,0,0,12.3,0.4,12.7,1.3,0.8,0.4,2,245,20,10,18,0.2,0,1300,217,0.8,0.02,0.04,0.2,0.3,4,55,100,Напитки,"Безалкогольные (менее 1,5% спирта)",Соки фруктовые. Консервы,,
6,Абрикосы,25,86.2,0.9,0.1,0,0,8.3,0.7,9,2.1,1,0.7,3,305,28,8,26,0.7,0,1600,267,1.1,0.03,0.06,0.7,0.8,10,44,100,"Фрукты, ягоды и продукты их переработки",Фрукты,Фрукты косточковые,,
7,Абрикосы сушеные без косточки (курага),25,20,5.2,0.3,0.1,0,48,3,51,18,1.5,4,17,1717,160,105,146,3.2,0,3500,583,5.5,0.1,0.2,3,3.9,4,232,100,"Фрукты, ягоды и продукты их переработки",Фрукты,Фрукты косточковые,,
8,Абрикосы сушеные с косточкой (урюк),25,18,5,0.4,0.1,0,49.8,3.2,53,17.6,2,4,17,1781,166,109,152,3.2,0,3500,583,5.5,0.1,0.2,3,3.8,4,242,100,"Фрукты, ягоды и продукты их переработки",Фрукты,Фрукты косточковые,,
9,"Агар (*в т. ч. НПВ – 75,6)",,14,2,0,0,0,0,0.8,0.8,79.4,0.2,3.6,217,107,1920,128,22,19,0,0,0,0,0,0,0,0.3,0,12,100,Кондитерские изделия,Кондитерское сырье,,,
10,Азу по 1-432,,76.1,6.3,4,2.7,21,1.7,8.5,10.2,1.1,0.2,2.1,360,397,17,22,89,1.2,0,70,12,0.3,0.07,0.09,1.7,3,3.8,103,100,Мясо и мясные продукты,Кулинарные изделия,Говядина,,
11,Айва,,84,0.6,0.5,0.1,0,7.6,2,9.6,3.6,0.9,0.8,14,144,23,14,24,3,0,400,167,0.4,0.02,0.04,0.1,0.2,23,48,100,"Фрукты, ягоды и продукты их переработки",Фрукты,Фрукты семечковые,,
12,Айвовый,,85.1,0.5,0.1,0,0,10.2,1,11.2,1.5,1.2,0.4,9,91,18,10,18,1.3,0,100,17,0.3,0.01,0.01,0.1,0.2,7.4,51,100,Напитки,"Безалкогольные (менее 1,5% спирта)",Соки фруктовые. Консервы,,
13,Алыча,10,89,0.2,0.1,0,0,7.8,0.1,7.9,1.8,0.5,0.5,17,188,27,21,25,1.9,0,160,27,0.3,0.02,0.03,0.5,0.5,13,34,100,"Фрукты, ягоды и продукты их переработки",Фрукты,Фрукты косточковые,,
14,Ананас,200,85.3,0.4,0.2,0,0,11.5,0,11.5,1.2,0.7,0.7,24,321,16,11,11,0.3,0,40,7,0.1,0.08,0.03,0.2,0.3,20,52,100,"Фрукты, ягоды и продукты их переработки",Фрукты,Тропические фрукты,,
15,Ананасовый,200,85.5,0.3,0.1,0,0,11.8,0,11.8,1,1,0.3,1,134,17,13,8,0.3,0,20,3,0.2,0.06,0.02,0.3,0.4,11,52,100,Напитки,"Безалкогольные (менее 1,5% спирта)",Соки фруктовые. Консервы,,
16,Антрекот по 1-404,,56.8,29.6,11.2,9.2,95,0,0,0,0,0,2.4,576,260,18,32,277,3,0,40,7,0.8,0.08,0.24,7.2,12.7,0,220,100,Мясо и мясные продукты,Кулинарные изделия,Говядина,,
17,Апельсин,155,86.8,0.9,0.2,0,0,8.1,0,8.1,2.2,1.3,0.5,13,197,34,13,23,0.3,0,50,8,0.2,0.04,0.03,0.2,0.3,60,43,100,"Фрукты, ягоды и продукты их переработки",Фрукты,Фрукты цитрусовые,,
18,Апельсин с сахаром по 2-116,155,67.3,0.7,0.2,0,0,28.7,0,28.7,1.7,1,0.4,10,152,27,10,17,0.3,0,40,7,0.1,0.03,0.02,0.2,0.3,39,122,100,"Фрукты, ягоды и продукты их переработки",Фрукты,Фрукты цитрусовые,,
19,Апельсиновый,155,84.5,0.7,0.1,0,0,13,0.2,13.2,0.2,1,0.3,10,179,18,11,13,0.3,0,50,8,0.2,0.04,0.02,0.2,0.3,40,60,100,Напитки,"Безалкогольные (менее 1,5% спирта)",Соки фруктовые. Консервы,,
20,Арахис,28,7.9,26.3,45.2,8.3,0,4.2,5.7,9.9,8.1,0,2.6,23,658,76,182,350,5,0,0,0,10.1,0.74,0.11,13.2,18.9,5.3,552,100,"Бобовые, орехи",Орехи,,,
21,Арбуз,15,92.6,0.6,0.1,0,0,5.8,0,5.8,0.4,0.1,0.4,16,110,14,12,7,1,0,100,17,0.1,0.04,0.06,0.2,0.3,7,27,100,"Фрукты, ягоды и продукты их переработки",Бахчевые,,,
22,"Ацидофилин 1,0 % жирности",,90.4,3,1,0.7,3,4,0,4,0,0.9,0.7,53,145,120,15,98,0.1,0,0,0,0,0.04,0.16,0.1,0.9,0.8,40,100,Молоко и молочные продукты,Жирность < = 1 %,Кисломолочные продукты,,
